name,mode,d_model,n_heads,n_layers,robots,waypoints,batch_size,params,mean_step_s,median_step_s,mean_infer_s,lr_first_steps,loss_first_steps
small_2r8w,imitation,32,4,1,2,8,8,65286,0.018024399993009865,0.018024399993009865,0.00024364374985452741,[1.2000202237296375e-05],[0.607539713382721]
small_2r8w,rl,32,4,1,2,8,8,65286,0.06168679997790605,0.06168679997790605,nan,[0.0003],[0.9848966002464294]
small_4r16w,imitation,48,4,2,4,16,6,164598,0.022879199997987598,0.022879199997987598,0.0006460333340025196,[1.2000202237296375e-05],[1.8374987840652466]
small_4r16w,rl,48,4,2,4,16,6,164598,0.025361400010297075,0.025361400010297075,nan,[0.0003],[1.3079899549484253]
small_6r32w,imitation,64,4,2,6,32,4,263590,0.017568100010976195,0.017568100010976195,0.0007086125042405911,[1.2000202237296375e-05],[2.8551084995269775]
small_6r32w,rl,64,4,2,6,32,4,263590,0.016326999990269542,0.016326999990269542,nan,[0.0003],[2.0064175128936768]
target_probe,imitation,64,8,2,6,32,4,263722,0.01490945000841748,0.01490945000841748,0.0006725374987581745,"[1.2000202237296375e-05, 1.2000455033783623e-05]","[2.165252208709717, 2.137338876724243]"
target_probe,rl,64,8,2,6,32,4,263722,0.02524585000355728,0.02524585000355728,nan,"[0.0003, 0.0003]","[1.6465290784835815, 1.3611489534378052]"
