name,mode,d_model,n_heads,n_layers,robots,waypoints,batch_size,params,mean_step_s,median_step_s,mean_infer_s,lr_first_steps,loss_first_steps
small_2r8w,imitation,32,4,1,2,8,8,65286,0.007889700005762279,0.007889700005762279,0.00011983124932157807,[1.2000000045479537e-05],[0.607539713382721]
small_2r8w,rl,32,4,1,2,8,8,65286,0.007298000011360273,0.007298000011360273,nan,[0.0003],[0.9848966002464294]
small_4r16w,imitation,48,4,2,4,16,6,164598,0.012901700014481321,0.012901700014481321,0.00043871667003259063,[1.2000000045479537e-05],[1.8374987840652466]
small_4r16w,rl,48,4,2,4,16,6,164598,0.011093999986769632,0.011093999986769632,nan,[0.0003],[1.3079899549484253]
small_6r32w,imitation,64,4,2,6,32,4,263590,0.010028099990449846,0.010028099990449846,0.00045730000056209974,[1.2000000045479537e-05],[2.8551084995269775]
small_6r32w,rl,64,4,2,6,32,4,263590,0.011303999985102564,0.011303999985102564,nan,[0.0003],[2.0064175128936768]
target_probe,imitation,256,8,4,20,200,2,6567530,0.08302939997520298,0.08302939997520298,0.009738175001984928,[1.2000000045479537e-05],[4.431796073913574]
target_probe,rl,256,8,4,20,200,2,6567530,0.07884699999704026,0.07884699999704026,nan,[0.0003],[5.204156875610352]
