name,mode,d_model,n_heads,n_layers,robots,waypoints,batch_size,params,mean_step_s,median_step_s,mean_infer_s,lr_first_steps,loss_first_steps
small_2r8w,imitation,32,4,1,2,8,8,65286,0.00940830001491122,0.00940830001491122,0.00014434375225391705,[1.2000000181919442e-05],[0.607539713382721]
small_2r8w,rl,32,4,1,2,8,8,65286,0.00950449999072589,0.00950449999072589,nan,[0.0003],[0.9848966002464294]
small_4r16w,imitation,48,4,2,4,16,6,164598,0.013369799999054521,0.013369799999054521,0.00046042499889153987,[1.2000000181919442e-05],[1.8374987840652466]
small_4r16w,rl,48,4,2,4,16,6,164598,0.012560299976030365,0.012560299976030365,nan,[0.0003],[1.3079899549484253]
small_6r32w,imitation,64,4,2,6,32,4,263590,0.014255900023272261,0.014255900023272261,0.0006376624987751711,[1.2000000181919442e-05],[2.8551084995269775]
small_6r32w,rl,64,4,2,6,32,4,263590,0.01239349998650141,0.01239349998650141,nan,[0.0003],[2.0064175128936768]
target_probe,imitation,128,8,3,12,80,4,1307114,0.029442800005199388,0.029442800005199388,0.001466549998440314,[1.2000000181919442e-05],[3.587136745452881]
target_probe,rl,128,8,3,12,80,4,1307114,0.0524219999788329,0.0524219999788329,nan,[0.0003],[4.926918983459473]
