name,n_success,success_rate,mission_mean,sync_mean,total_time_mean,batch_alloc_mean,assigned_mean,capacity_relaxed
A0_full,3,1.0,34.65001088037186,35.80360616964392,0.20601725578308105,0.0031092961629231772,6.0,0
A1_no_local,3,1.0,45.356029960946536,50.23284204581093,0.2011998494466146,0.0005769729614257812,6.0,0
A2_greedy,3,1.0,34.65001088037186,35.80360616964392,0.20867649714152017,0.0042908986409505205,6.0,0
A3_no_capacity,3,1.0,34.65001088037186,35.80360616964392,0.21663888295491537,0.003074169158935547,6.0,0
A4_no_cross_refine,3,1.0,36.9071980624685,38.36095452180564,0.1590092976888021,0.0009234746297200521,6.0,0
A5_no_sync_align,3,1.0,35.07993810899021,37.49628995708076,0.18302996953328451,0.002715905507405599,6.0,0
A6_independent_obj,3,1.0,31.807180889213214,39.090703079320726,0.16771332422892252,0.002373854319254557,6.0,0
A7_single_batch,3,1.0,26.002657820563062,26.002657820563062,0.12241077423095703,0.0010657310485839844,6.0,0
