name,n_success,success_rate,mission_mean,sync_mean,total_time_mean,batch_alloc_mean,assigned_mean,capacity_relaxed
A0_full,3,1.0,29.374639018010175,37.69671759563826,0.1846152146657308,0.0017448266347249348,6.0,0
A1_no_local,3,1.0,36.19402762501297,39.080272738311464,0.15238610903422037,0.0005320707956949869,6.0,0
A2_greedy,3,1.0,39.118215858236624,48.218762031966854,0.2194999853769938,0.0008597373962402344,6.0,0
A3_no_capacity,3,1.0,24.517630003995606,24.517630003995606,0.16655333836873373,0.002823432286580404,6.0,0
A4_no_cross_refine,3,1.0,35.56158290862001,39.37723067781797,0.14988223711649576,0.0006972153981526693,6.0,0
A5_no_sync_align,3,1.0,29.374639018010175,47.02879700886854,0.17876084645589194,0.0020221869150797525,6.0,0
A6_single_batch,3,1.0,27.68202118711424,27.68202118711424,0.13901662826538086,0.00048693021138509113,6.0,0
